step,obj_fn_value
0,79252
1,79134
2,78904
3,78464
4,78382
5,78206
6,77862
7,77665
8,77466
9,77234
10,77021
11,76871
12,76831
13,76643
14,76616
15,76350
16,76336
17,76270
18,76249
19,76154
20,75961
21,75804
22,75713
23,75313
24,75102
25,74672
26,74488
27,74250
28,73962
29,73613
30,73379
31,72891
32,72689
33,72609
34,72485
35,72325
36,72291
37,72145
38,71973
39,71901
40,71681
41,71455
42,71413
43,71197
44,71197
45,71072
46,71008
47,71000
48,70850
49,70704
50,70387
51,70345
52,70087
53,69905
54,69885
55,69832
56,69832
57,69829
58,69667
59,69566
60,69368
61,69320
62,69211
63,69068
64,68833
65,68781
66,68781
67,68781
68,68583
69,68428
70,68426
71,68210
72,68107
73,67885
74,67871
75,67571
76,67181
77,67057
78,66767
79,66581
80,66544
81,66456
82,66278
83,66057
84,65966
85,65874
86,65848
87,65702
88,65683
89,65674
90,65573
91,65263
92,65263
93,64871
94,64689
95,64485
96,64417
97,64417
98,64391
99,64391
100,64153
101,64139
102,64060
103,63878
104,63816
105,63799
106,63755
107,63755
108,63646
109,63462
110,63376
111,63374
112,63086
113,62972
114,62740
115,62678
116,62185
117,61913
118,61913
119,61901
120,61843
121,61769
122,61745
123,61485
124,61411
125,61121
126,61026
127,60778
128,60706
129,60602
130,60594
131,60303
132,60245
133,59935
134,59935
135,59785
136,59754
137,59566
138,59430
139,59414
140,59206
141,59206
142,59200
143,59157
144,59065
145,58651
146,58613
147,58601
148,58593
149,58593
150,58571
151,58509
152,58459
153,58451
154,58433
155,58433
156,58233
157,58017
158,57893
159,57823
160,57771
161,57771
162,57745
163,57657
164,57649
165,57584
166,57295
167,57235
168,57123
169,56879
170,56879
171,56748
172,56748
173,56730
174,56716
175,56610
176,56610
177,56610
178,56549
179,56549
180,56450
181,56428
182,56295
183,56042
184,56042
185,56042
186,56042
187,56027
188,55733
189,55499
190,55448
191,55369
192,55236
193,55148
194,55148
195,55128
196,55120
197,55111
198,55053
199,55053
200,54996
201,54890
202,54890
203,54876
204,54752
205,54608
206,54608
207,54507
208,54471
209,54405
210,54319
211,54257
212,54257
213,54257
214,54223
215,54147
216,54105
217,54049
218,53772
219,53730
220,53724
221,53724
222,53394
223,53370
224,53370
225,53362
226,53134
227,53084
228,53084
229,52918
230,52905
231,52905
232,52846
233,52704
234,52600
235,52600
236,52472
237,52404
238,52196
239,52164
240,52080
241,52052
242,52052
243,52052
244,52027
245,51865
246,51659
247,51375
248,51344
249,51174
250,51104
251,51104
252,51047
253,50913
254,50913
255,50890
256,50856
257,50698
258,50684
259,50553
260,50177
261,50036
262,49998
